"replication","km_fr","km_eu","hc_fr","hc_eu"
67,0.95,0.923333333333333,0.933333333333333,0.893333333333333
68,0.92,0.883333333333333,0.836666666666667,0.613333333333333
69,0.91,0.88,0.83,0.78
70,0.933333333333333,0.896666666666667,0.87,0.793333333333333
71,0.95,0.936666666666667,0.896666666666667,0.516666666666667
72,0.93,0.913333333333333,0.863333333333333,0.506666666666667
73,0.95,0.906666666666667,0.89,0.56
74,0.916666666666667,0.9,0.89,0.686666666666667
75,0.926666666666667,0.893333333333333,0.92,0.806666666666667
76,0.943333333333333,0.896666666666667,0.896666666666667,0.62
77,0.943333333333333,0.943333333333333,0.93,0.876666666666667
78,0.946666666666667,0.916666666666667,0.9,0.66
79,0.953333333333333,0.933333333333333,0.953333333333333,0.643333333333333
80,0.923333333333333,0.873333333333333,0.89,0.516666666666667
81,0.93,0.906666666666667,0.9,0.863333333333333
82,0.956666666666667,0.903333333333333,0.926666666666667,0.71
83,0.956666666666667,0.923333333333333,0.893333333333333,0.866666666666667
84,0.94,0.93,0.933333333333333,0.55
85,0.933333333333333,0.903333333333333,0.833333333333333,0.593333333333333
86,0.93,0.92,0.866666666666667,0.616666666666667
87,0.93,0.92,0.926666666666667,0.926666666666667
88,0.94,0.9,0.776666666666667,0.67
89,0.943333333333333,0.89,0.86,0.933333333333333
90,0.946666666666667,0.9,0.92,0.74
91,0.926666666666667,0.913333333333333,0.9,0.786666666666667
92,0.966666666666667,0.923333333333333,0.55,0.806666666666667
93,0.946666666666667,0.92,0.746666666666667,0.8
94,0.91,0.913333333333333,0.81,0.88
95,0.956666666666667,0.913333333333333,0.933333333333333,0.676666666666667
96,0.936666666666667,0.94,0.926666666666667,0.836666666666667
97,0.936666666666667,0.89,0.6,0.616666666666667
98,0.946666666666667,0.913333333333333,0.773333333333333,0.733333333333333
99,0.956666666666667,0.893333333333333,0.87,0.886666666666667
100,0.936666666666667,0.923333333333333,0.873333333333333,0.56
