"replication","km_fr","km_eu","hc_fr","hc_eu"
81,0.97,0.956666666666667,0.933333333333333,0.97
82,0.986666666666667,0.953333333333333,0.943333333333333,0.916666666666667
83,0.983333333333333,0.966666666666667,0.926666666666667,0.58
84,0.976666666666667,0.953333333333333,0.95,0.76
85,0.98,0.966666666666667,0.976666666666667,0.98
86,0.976666666666667,0.956666666666667,0.976666666666667,0.84
87,0.98,0.966666666666667,0.953333333333333,0.956666666666667
88,0.973333333333333,0.94,0.976666666666667,0.923333333333333
89,0.986666666666667,0.973333333333333,0.95,0.72
90,0.963333333333333,0.95,0.866666666666667,0.926666666666667
91,0.973333333333333,0.97,0.933333333333333,0.93
92,0.976666666666667,0.95,0.923333333333333,0.88
93,0.98,0.97,0.976666666666667,0.976666666666667
94,0.976666666666667,0.973333333333333,0.96,0.973333333333333
95,0.966666666666667,0.95,0.89,0.79
96,0.973333333333333,0.96,0.926666666666667,0.846666666666667
97,0.976666666666667,0.966666666666667,0.953333333333333,0.966666666666667
98,0.99,0.97,0.976666666666667,0.72
99,0.99,0.983333333333333,0.923333333333333,0.98
100,0.973333333333333,0.94,0.98,0.973333333333333
